job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_0_5_0,spring_-c_-l_-q_ill_bin,1.134400913,26.618764,0.897759409,33.635237,6.592977,error_analysis_0_5_0,1.3390633333333333,30.773188644439745,22569,13,30,0.999424,0.998672,0.999047
compression_0_9_0,fqzcomp_-Q_2,0.673635812,44.825928,0.856887767,35.239563,6.983226,error_analysis_0_9_0,3.253903333333333,26.917153358447305,22276,342,323,0.984879,0.985707,0.985292
compression_0_10_0,fqzcomp_-Q_3,0.622783397,48.48612,0.784724266,38.480205,7.269091,error_analysis_0_10_0,7.154251587301587,23.495557741206376,22055,82,544,0.996295,0.975928,0.986006
compression_0_11_0,fqzcomp_-Q_5,0.59510239,50.741437,0.7753043,38.94774,7.969439,error_analysis_0_11_0,19.825806825396825,19.068891123819093,21478,1228,1121,0.945917,0.950396,0.94815
compression_0_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,1.121248969,26.930995,0.365714704,82.568052,4.114362,error_analysis_0_0_0,0.7009733333333333,33.58418485953844,22568,9,31,0.999601,0.998628,0.999113
compression_0_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,1.259562828,23.973675,0.376154219,80.276518,4.302983,error_analysis_0_1_0,0.7505527777777777,33.28738746047657,22502,249,97,0.989055,0.995707,0.992368
compression_0_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,1.182293141,25.540494,0.286281189,105.477943,5.904423,error_analysis_0_2_0,3.434988492063492,26.68194696236104,22111,464,488,0.979446,0.978406,0.978924
compression_0_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.15,1.068616147,28.257434,0.282940766,106.723224,6.18621,error_analysis_0_3_0,3.2579409523809524,26.911767738582377,21697,33,902,0.998481,0.960086,0.978906
compression_0_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,1.059416897,28.502802,0.294816652,102.42417,6.573073,error_analysis_0_4_0,15.127669365079363,20.24347958786865,21521,1320,1078,0.942209,0.952298,0.947225
compression_0_6_0,spring_-c_-l_-q_qvz_2,58.458329262,0.516544,0.941869402,32.060019,5.196818,error_analysis_0_6_0,0.3823923809523809,36.21610752146273,22518,168,81,0.992594,0.996415,0.9945
compression_0_7_0,spring_-c_-l_-q_qvz_4,58.937265991,0.512347,0.884732252,34.130496,4.908105,error_analysis_0_7_0,0.0,inf,22599,0,0,1.0,1.0,1.0
compression_0_8_0,spring_-c_-l_-q_qvz_8,60.129497244,0.502188,0.875056628,34.507882,4.908105,error_analysis_0_8_0,0.0,inf,22599,0,0,1.0,1.0,1.0

