job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_0_5_0,spring_-c_-l_-q_ill_bin,0.995126592,23.910207,0.684480546,34.761664,6.981298,error_analysis_0_5_0,3.7410024,26.3113199584066,7466,7,37,0.999063,0.995068,0.99706
compression_0_9_0,fqzcomp_-Q_2,0.525955247,45.238987,0.619049576,38.435827,6.621337,error_analysis_0_9_0,2.7736983,27.61060762317696,7311,37,192,0.994964,0.97441,0.984578
compression_0_10_0,fqzcomp_-Q_3,0.538396624,44.193596,0.622000848,38.253457,7.035219,error_analysis_0_10_0,6.1764818,24.13378816617088,7178,38,325,0.994733,0.956683,0.975336
compression_0_11_0,fqzcomp_-Q_5,0.519644195,45.788412,0.577270332,41.217574,7.587493,error_analysis_0_11_0,17.2811328,19.665477750301704,7268,161,235,0.978328,0.968679,0.973478
compression_0_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,1.186326891,20.056599,0.326258456,72.928938,4.100306,error_analysis_0_0_0,0.3674159,36.38962036094828,7502,2,1,0.999733,0.999866,0.999799
compression_0_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,0.954217766,24.935275,0.27943202,85.150166,5.286262,error_analysis_0_1_0,1.3707198,30.671712964665097,7462,80,41,0.989392,0.994535,0.991955
compression_0_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,0.90342192,26.337287,0.25042913,95.011642,5.593233,error_analysis_0_2_0,2.4340855,28.177841534101773,7331,114,172,0.984687,0.977075,0.980866
compression_0_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.15,0.881344633,26.997024,0.215424363,110.450288,7.097361,error_analysis_0_3_0,15.6915444,20.084542926451764,7452,87,51,0.98846,0.993202,0.990824
compression_0_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,0.962633534,24.71728,0.202653115,117.410892,7.029412,error_analysis_0_4_0,12.5230215,21.06410856460357,7156,411,347,0.945685,0.953751,0.9497
compression_0_6_0,spring_-c_-l_-q_qvz_2,40.584731744,0.586271,0.665173093,35.770663,4.892516,error_analysis_0_6_0,1.0807129,31.704096471727308,7385,63,118,0.991541,0.984272,0.987893
compression_0_7_0,spring_-c_-l_-q_qvz_4,44.464287452,0.535118,0.761689097,31.238051,4.640901,error_analysis_0_7_0,0.0108297,51.69503556515291,7498,0,5,1.0,0.999333,0.999666
compression_0_8_0,spring_-c_-l_-q_qvz_8,43.946919516,0.541418,0.727741321,32.695248,4.640901,error_analysis_0_8_0,0.0,inf,7503,0,0,1.0,1.0,1.0
