job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_4_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.01,1.050583355,22.918045,0.346872194,69.412646,3.808329,error_analysis_4_0_0,0.0,inf,9981,0,0,1.0,1.0,1.0
compression_4_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,0.932910252,25.808824,0.299323466,80.439122,4.385551,error_analysis_4_1_0,0.1676873,39.79619810620966,9981,134,0,0.986752,1.0,0.993331
compression_4_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,0.898068595,26.810109,0.249432171,96.528514,5.464019,error_analysis_4_2_0,1.2419875,31.10002757756057,9960,129,21,0.987213,0.997896,0.992524
compression_4_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,0.977963139,24.619861,0.253883627,94.836036,5.75173,error_analysis_4_3_0,2.2495963,28.52015393616917,9830,126,151,0.987344,0.984871,0.986105
compression_4_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,0.948307839,25.389769,0.192407259,125.137258,7.009967,error_analysis_4_4_0,11.3597261,21.487521226447143,9650,403,331,0.959912,0.966836,0.963361
compression_4_5_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.5,0.917693781,26.236766,0.18755378,128.375535,7.473649,error_analysis_4_5_0,21.9017796,18.636405783610183,9567,884,414,0.915414,0.958521,0.936471
compression_4_6_0,spring_-c_-l_-q_ill_bin,0.978024754,24.61831,0.659313656,36.518759,7.448694,error_analysis_4_6_0,3.3511317,26.78928486644188,9961,1,20,0.999899,0.997996,0.998946
compression_4_10_0,fqzcomp_-Q_1,0.622738982,38.663577,0.601464543,40.031149,6.466314,error_analysis_4_10_0,0.8187477,32.90969889660618,9869,36,112,0.996365,0.988778,0.992556
compression_4_11_0,fqzcomp_-Q_2,0.471237791,51.093773,0.583005748,41.298592,7.221815,error_analysis_4_11_0,2.8845104,27.44047873525581,9800,49,181,0.995024,0.981865,0.9884
compression_4_12_0,fqzcomp_-Q_3,0.554663521,43.40887,0.552056696,43.613848,7.701402,error_analysis_4_12_0,6.4380054,23.953686460333856,9772,129,209,0.986971,0.97906,0.982998
compression_4_13_0,fqzcomp_-Q_5,0.528870693,45.525905,0.561052221,42.914573,8.259369,error_analysis_4_13_0,18.0923971,19.46623871388469,9814,201,167,0.97993,0.983268,0.981595
compression_4_7_0,spring_-c_-l_-q_qvz_1,39.679577968,0.606793,0.642499746,37.474438,6.305671,error_analysis_4_7_0,4.2004986,25.808191383588472,9845,672,136,0.936103,0.986374,0.96058
compression_4_8_0,spring_-c_-l_-q_qvz_2,40.61446698,0.592826,0.637067169,37.794,5.104591,error_analysis_4_8_0,0.757182,33.2491970144445,9903,77,78,0.992284,0.992185,0.992234
compression_4_9_0,spring_-c_-l_-q_qvz_4,44.603967094,0.539802,0.763889349,31.519377,4.950838,error_analysis_4_9_0,0.0052131,54.870239268193245,9978,1,3,0.999899,0.999699,0.999798
