job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_5_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.01,1.13572568,20.950202,0.341484477,69.677202,3.657958,error_analysis_5_0_0,0.0,inf,7503,0,0,1.0,1.0,1.0
compression_5_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,0.940786117,25.291277,0.325926255,73.003271,4.100306,error_analysis_5_1_0,0.3674159,36.38962036094828,7502,2,1,0.999733,0.999866,0.999799
compression_5_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,1.016312164,23.411786,0.263382202,90.338993,5.286262,error_analysis_5_2_0,1.3707198,30.671712964665097,7462,80,41,0.989392,0.994535,0.991955
compression_5_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,0.899232038,26.460003,0.249226416,95.470148,5.593233,error_analysis_5_3_0,2.4340855,28.177841534101773,7331,114,172,0.984687,0.977075,0.980866
compression_5_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,0.921651845,25.816346,0.207068419,114.907348,7.029412,error_analysis_5_4_0,12.5230215,21.06410856460357,7156,411,347,0.945685,0.953751,0.9497
compression_5_5_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.5,0.851094279,27.956577,0.196359614,121.174015,7.618076,error_analysis_5_5_0,21.9260137,18.63160301523694,7055,969,448,0.879237,0.94029,0.908738
compression_5_6_0,spring_-c_-l_-q_ill_bin,0.869492567,27.365021,0.613913586,38.757381,6.981298,error_analysis_5_6_0,3.7410024,26.3113199584066,7466,7,37,0.999063,0.995068,0.99706
compression_5_10_0,fqzcomp_-Q_1,0.588204917,40.45135,0.650567236,36.573749,5.955716,error_analysis_5_10_0,0.797164,33.02572304963618,7366,10,137,0.998644,0.98174,0.990119
compression_5_11_0,fqzcomp_-Q_2,0.535486868,44.433737,0.622844662,38.201632,6.621337,error_analysis_5_11_0,2.7736983,27.61060762317696,7311,37,192,0.994964,0.97441,0.984578
compression_5_12_0,fqzcomp_-Q_3,0.540267166,44.040586,0.560879144,42.422121,7.035219,error_analysis_5_12_0,6.1764818,24.13378816617088,7178,38,325,0.994733,0.956683,0.975336
compression_5_13_0,fqzcomp_-Q_5,0.473777147,50.221255,0.559137832,42.554235,7.587493,error_analysis_5_13_0,17.2811328,19.665477750301704,7268,161,235,0.978328,0.968679,0.973478
compression_5_7_0,spring_-c_-l_-q_qvz_1,39.414808594,0.603673,0.667975845,35.620573,5.732878,error_analysis_5_7_0,5.1004625,24.96510423795096,7351,627,152,0.921408,0.979741,0.949679
compression_5_8_0,spring_-c_-l_-q_qvz_2,41.973133237,0.566878,0.719290769,33.079366,4.892516,error_analysis_5_8_0,1.0822747,31.69782476457824,7389,66,114,0.991146,0.984806,0.987965
compression_5_9_0,spring_-c_-l_-q_qvz_4,44.186245583,0.538486,0.651892989,36.499369,4.640901,error_analysis_5_9_0,0.0108297,51.69503556515291,7498,0,5,1.0,0.999333,0.999666
